both
ID          Name         Time         Max_wind     Min_pressure Landfall     distance    
AL061856    UNNAMED      4d18h        70.0         -999.0       0            363.1772146007304
AL011857    UNNAMED      1d18h        50.0         -999.0       0            362.81001816604333
AL021857    UNNAMED      11d12h       90.0         -999.0       1            2772.760212141205
AL031857    UNNAMED      4d18h        70.0         -999.0       0            0.0         
AL041857    UNNAMED      6d18h        90.0         -999.0       0            2570.5008352203613
AL011858    UNNAMED      NA             70          -999        0            0           
AL021858    UNNAMED      NA             70          -999        0            0           
AL031858    UNNAMED      3d6h         90.0         -999.0       2            1445.6627785848896
AL041858    UNNAMED      7d18h        80.0         -999.0       0            2594.3234177501663
AL051858    UNNAMED      3d6h         80.0         -999.0       0            843.2829535685783
AL061858    UNNAMED      5d6h         90.0         -999.0       0            1497.034795135736
AL011859    UNNAMED      NA             90          -999        0            0           
AL021859    UNNAMED      2d18h        90.0         -999.0       0            529.3158776168812
AL031859    UNNAMED      1d6h         70.0         -999.0       0            253.26561467742212
AL041859    UNNAMED      1d12h        90.0         -999.0       0            800.5502647727844
AL051859    UNNAMED      3d18h        70.0         -999.0       1            1645.5064331973495
AL061859    UNNAMED      4d18h        110.0        -999.0       0            1624.3125608971798
AL071859    UNNAMED      2d6h         60.0         -999.0       0            353.04355341764557
AL081859    UNNAMED      5d18h        80.0         -999.0       1            1466.361971638108
AL011860    UNNAMED      8d6h         110.0        -999.0       1            1325.9850301169095
AL021860    UNNAMED      2d18h        90.0         -999.0       0            890.7753266828773
AL041860    UNNAMED      5d6h         90.0         -999.0       1            642.8534997182754
AL031860    UNNAMED      NA             70          -999        0            0           
AL051860    UNNAMED      3d18h        60.0         -999.0       0            1023.314989890642
AL061860    UNNAMED      3d18h        90.0         -999.0       1            689.7986928292909
AL071860    UNNAMED      4d6h         90.0         -999.0       0            1153.8779695243315
AL011861    UNNAMED      6d18h        90.0         -999.0       0            1535.696391678602
AL021861    UNNAMED      4d6h         80.0         -999.0       0            921.7434122259758
AL031861    UNNAMED      5d18h        90.0         -999.0       0            1511.9352790669789
AL041861    UNNAMED      NA             70          -999        0            0           
AL051861    UNNAMED      1d6h         70.0         -999.0       1            868.4175054910977
AL061861    UNNAMED      3d18h        60.0         -999.0       0            1287.6067802439368
AL071861    UNNAMED      NA             50          -999        0            0           
AL081861    UNNAMED      2d12h        70.0         -999.0       1            1122.7264582469331
AL011862    UNNAMED      2d18h        50.0         -999.0       0            301.523303857105
AL021862    UNNAMED      3d0h         90.0         -999.0       0            1141.349439841315
AL031862    UNNAMED      8d6h         90.0         -999.0       0            2082.0962039746028
AL041862    UNNAMED      NA             50          -999        0            0           
AL051862    UNNAMED      3d6h         70.0         -999.0       0            788.0040600123205
AL061862    UNNAMED      3d6h         60.0         -999.0       0            17.73233329461935
AL011863    UNNAMED      1d18h        90.0         -999.0       0            299.72712437400935
AL021863    UNNAMED      1d18h        90.0         -999.0       0            445.11889999853446
AL031863    UNNAMED      4d6h         90.0         -999.0       0            1392.8796756747531
AL041863    UNNAMED      1d18h        90.0         -999.0       0            538.6976255568084
AL051863    UNNAMED      7d18h        70.0         -999.0       0            2497.759111513385
AL061863    UNNAMED      3d6h         60.0         -999.0       0            859.1153425835715
AL071863    UNNAMED      1d6h         50.0         -999.0       0            91.64944418979941
AL081863    UNNAMED      0d18h        50.0         -999.0       0            217.49194928432578
AL091863    UNNAMED      2d18h        60.0         -999.0       0            325.02786596433793
AL011864    UNNAMED      2d18h        70.0         -999.0       0            1491.8869689552816
AL021864    UNNAMED      NA             60          -999        0            0           
AL031864    UNNAMED      6d6h         70.0         -999.0       0            2039.9004447806894
AL041864    UNNAMED      3d18h        50.0         -999.0       0            0.0         
AL051864    UNNAMED      2d18h        70.0         -999.0       0            930.2241455947478
AL011865    UNNAMED      NA             50          -999        0            0           
AL021865    UNNAMED      NA             50          -999        0            0           
AL031865    UNNAMED      4d18h        60.0         -999.0       0            636.3124391566386
AL041865    UNNAMED      8d18h        90.0         -999.0       1            2636.4717014519224
AL051865    UNNAMED      NA             60          -999        0            0           
AL061865    UNNAMED      NA             70          -999        0            0           
AL071865    UNNAMED      7d18h        90.0         -999.0       2            2013.7112249158067
AL011866    UNNAMED      4d12h        90.0         -999.0       1            522.9158337657512
AL021866    UNNAMED      5d6h         90.0         -999.0       0            2092.0160971347977
AL031866    UNNAMED      3d6h         70.0         -999.0       0            1059.29318342217
AL041866    UNNAMED      NA             70          -999        0            0           
AL051866    UNNAMED      2d18h        90.0         -999.0       0            752.1496434457514
AL061866    UNNAMED      11d18h       120.0        -999.0       0            4175.098593287036
AL071866    UNNAMED      1d12h        60.0         -999.0       0            713.843944069561
AL011867    UNNAMED      2d6h         70.0         -999.0       1            335.85438128336375
AL021867    UNNAMED      6d18h        90.0         -999.0       0            2634.2042917580534
AL031867    UNNAMED      NA             90          -999        0            0           
AL041867    UNNAMED      3d18h        70.0         -999.0       0            848.0026533979806
AL051867    UNNAMED      NA             50          -999        0            0           
AL061867    UNNAMED      2d6h         90.0         -999.0       0            437.58105180101995
AL071867    UNNAMED      7d18h        90.0         -999.0       2            1546.622843541603
AL081867    UNNAMED      NA             40          -999        0            0           
AL091867    UNNAMED      4d0h         110.0        -999.0       0            1200.156184492795
AL011868    UNNAMED      4d6h         90.0         -999.0       0            1323.513753116223
AL021868    UNNAMED      6d18h        70.0         -999.0       0            2175.4192458400935
AL031868    UNNAMED      2d18h        90.0         -999.0       0            317.27393565405487
AL041868    UNNAMED      2d18h        90.0         -999.0       0            639.0592844968983
AL011869    UNNAMED      0d18h        90.0         -999.0       0            137.71458499115283
AL021869    UNNAMED      1d18h        90.0         -999.0       1            328.3521336676407
AL031869    UNNAMED      0d18h        70.0         -999.0       0            91.16663643586567
AL041869    UNNAMED      1d18h        60.0         -999.0       0            397.3659129222275
AL051869    UNNAMED      2d0h         70.0         -999.0       1            234.4682037896298
AL061869    UNNAMED      2d6h         100.0        -999.0       2            964.541353604415
AL071869    UNNAMED      7d18h        90.0         -999.0       0            2397.388213475013
AL081869    UNNAMED      NA             60          -999        0            0           
AL091869    UNNAMED      NA             50          -999        0            0           
AL101869    UNNAMED      1d12h        90.0         -999.0       3            972.1014543744433
AL011870    UNNAMED      NA             70          -999        1            0           
AL021870    UNNAMED      5d18h        90.0         -999.0       0            1914.4208746617355
AL031870    UNNAMED      3d18h        60.0         -999.0       0            1469.7120534207286
AL041870    UNNAMED      4d18h        110.0        -999.0       0            2000.9949987353189
AL051870    UNNAMED      3d18h        80.0         -999.0       0            2089.8290106462537
AL061870    UNNAMED      9d18h        100.0        -999.0       0            1391.8711490507435
AL071870    UNNAMED      NA             70          -999        0            0           
AL081870    UNNAMED      1d6h         70.0         -999.0       0            499.2200522923095
AL091870    UNNAMED      3d18h        90.0         -999.0       2            1075.3870646436724
AL101870    UNNAMED      NA             90          -999        0            0           
AL111870    UNNAMED      4d18h        70.0         -999.0       0            535.1991190320045
AL011871    UNNAMED      4d18h        50.0         -999.0       0            1104.9912008871918
AL021871    UNNAMED      2d18h        50.0         -999.0       0            621.4679906451488
AL031871    UNNAMED      9d18h        100.0        -999.0       1            1457.97316508222
AL041871    UNNAMED      13d18h       100.0        -999.0       1            4312.05845240811
AL051871    UNNAMED      3d18h        90.0         -999.0       0            980.2740062455148
AL061871    UNNAMED      3d18h        70.0         -999.0       1            849.8481591947635
AL071871    UNNAMED      7d18h        70.0         -999.0       0            1593.6970741231062
AL081871    UNNAMED      3d6h         70.0         -999.0       0            1772.8647409006123
AL011872    UNNAMED      4d18h        50.0         -999.0       0            671.8855893900982
AL021872    UNNAMED      13d18h       90.0         -999.0       0            3321.188503627165
AL031872    UNNAMED      11d18h       70.0         -999.0       0            2026.4471803601693
AL041872    UNNAMED      6d18h        70.0         -999.0       0            2288.467372376999
AL051872    UNNAMED      6d6h         70.0         -999.0       0            1809.0879916577312
AL011873    UNNAMED      1d12h        40.0         -999.0       0            489.2056511007355
AL021873    UNNAMED      15d18h       100.0        -999.0       0            4518.71360896234
AL031873    UNNAMED      2d18h        70.0         -999.0       1            1112.5723185681
AL041873    UNNAMED      2d18h        50.0         -999.0       0            1022.9582420677214
AL051873    UNNAMED      14d6h        100.0        -999.0       1            3259.458006351278
AL011874    UNNAMED      3d6h         50.0         -999.0       0            665.3765377161276
AL021874    UNNAMED      4d18h        70.0         -999.0       0            1520.4331590018687
AL031874    UNNAMED      10d6h        80.0         -999.0       0            3155.258812891794
AL041874    UNNAMED      5d18h        50.0         -999.0       0            732.3180319896933
AL051874    UNNAMED      3d18h        50.0         -999.0       0            1455.2409049665314
AL061874    UNNAMED      6d6h         80.0         -999.0       2            2239.8525953141416
AL071874    UNNAMED      4d18h        90.0         -999.0       0            735.069929334111
AL011875    UNNAMED      3d18h        70.0         -999.0       0            938.7548242565426
AL021875    UNNAMED      9d18h        70.0         -999.0       0            3233.0252599288
AL031875    UNNAMED      10d18h       100.0        -999.0       1            2956.616408103782
AL041875    UNNAMED      4d0h         50.0         -999.0       0            809.6989465150963
AL051875    UNNAMED      3d18h        90.0         -999.0       0            1098.7965960008803
AL061875    UNNAMED      4d18h        70.0         -999.0       0            1334.3657899667464
AL011876    UNNAMED      2d18h        80.0         -999.0       0            582.3764007602588
AL021876    UNNAMED      7d18h        100.0        -999.0       1            2788.450821618321
AL031876    UNNAMED      2d18h        50.0         -999.0       0            1031.4990990213016
AL041876    UNNAMED      6d6h         90.0         -999.0       0            1751.2282404376704
AL051876    UNNAMED      11d18h       100.0        -999.0       1            1992.6896805627266
AL011877    UNNAMED      4d6h         60.0         -999.0       0            1610.8170305791646
AL021877    UNNAMED      7d18h        70.0         -999.0       2            1347.517083757678
AL031877    UNNAMED      6d18h        70.0         -999.0       0            1562.3748438047269
AL041877    UNNAMED      14d18h       100.0        -999.0       1            3641.9838763719254
AL051877    UNNAMED      5d18h        50.0         -999.0       0            1245.3087298078376
AL061877    UNNAMED      5d18h        50.0         -999.0       0            1725.973731617736
AL071877    UNNAMED      4d6h         50.0         -999.0       0            1519.8098637906107
AL081877    UNNAMED      2d18h        50.0         -999.0       0            1714.4433356701566
AL011878    UNNAMED      2d18h        40.0         -999.0       0            605.1062814519087
AL021878    UNNAMED      11d0h        70.0         -999.0       0            2352.756557469874
AL031878    UNNAMED      2d18h        80.0         -999.0       0            1044.0119747369051
AL041878    UNNAMED      5d18h        90.0         -999.0       0            1772.2326367984163
AL051878    UNNAMED      12d18h       90.0         -999.0       2            3001.3998305337805
AL061878    UNNAMED      6d18h        90.0         -999.0       0            1494.6357812732458
AL071878    UNNAMED      14d18h       120.0        -999.0       0            3123.0279486938957
AL081878    UNNAMED      6d18h        70.0         -999.0       0            2980.2540340241785
AL091878    UNNAMED      7d18h        70.0         -999.0       0            2359.6027557056905
AL101878    UNNAMED      6d18h        100.0        -999.0       0            1780.493681464534
AL111878    UNNAMED      7d18h        90.0         -999.0       1            2303.4827716255977
AL121878    UNNAMED      7d18h        60.0         -999.0       0            1561.3949249066643
AL011879    UNNAMED      3d18h        70.0         -999.0       0            1202.4854676797563
AL021879    UNNAMED      7d18h        100.0        -999.0       2            3062.3001972791667
AL031879    UNNAMED      5d18h        90.0         -999.0       1            1614.1047656529709
AL041879    UNNAMED      4d18h        110.0        -999.0       1            712.5108185832377
AL051879    UNNAMED      4d18h        50.0         -999.0       0            1238.719815102524
AL061879    UNNAMED      7d18h        50.0         -999.0       0            2292.568444722982
AL071879    UNNAMED      5d18h        70.0         -999.0       0            2113.1054662794154
AL081879    UNNAMED      3d18h        90.0         -999.0       0            2088.0178508711624
AL011880    UNNAMED      4d6h         40.0         -999.0       0            549.7797824625704
AL021880    UNNAMED      10d18h       130.0        -999.0       1            2590.8922488469484
AL031880    UNNAMED      5d18h        80.0         -999.0       0            1584.6704666985
AL041880    UNNAMED      8d18h        90.0         -999.0       2            1804.056327920283
AL051880    UNNAMED      9d18h        80.0         -999.0       0            1912.802222726369
AL061880    UNNAMED      5d18h        70.0         -999.0       1            2029.5009920217901
AL071880    UNNAMED      2d18h        80.0         -999.0       0            1392.2230286865533
AL081880    UNNAMED      7d18h        120.0        -999.0       0            1968.365212759882
AL091880    UNNAMED      5d18h        70.0         -999.0       1            1586.5287381815554
AL101880    UNNAMED      6d18h        80.0         -999.0       0            1443.8238805477386
AL111880    UNNAMED      4d6h         60.0         -999.0       0            1462.9643872807992
AL011881    UNNAMED      3d6h         50.0         -999.0       0            539.1730783905625
AL031881    UNNAMED      7d18h        80.0         -999.0       0            1829.6922014651675
AL021881    UNNAMED      3d6h         40.0         -999.0       0            601.2487809931403
AL041881    UNNAMED      5d18h        70.0         -999.0       0            2153.020300000893
AL051881    UNNAMED      8d18h        90.0         -999.0       1            2085.5442302010724
AL061881    UNNAMED      4d18h        90.0         -999.0       1            1329.1400146006665
AL071881    UNNAMED      6d18h        60.0         -999.0       0            2203.226736913811
AL011882    UNNAMED      1d0h         70.0         -999.0       0            281.06488830393755
AL021882    UNNAMED      11d6h        110.0        -999.0       1            3128.15700024347
AL031882    UNNAMED      2d0h         50.0         -999.0       0            330.72274993616276
AL041882    UNNAMED      3d6h         50.0         -999.0       0            801.7835663097783
AL051882    UNNAMED      4d18h        70.0         -999.0       0            1413.5261973970526
AL061882    UNNAMED      10d18h       120.0        -999.0       1            1943.8343783722325
AL011883    UNNAMED      10d18h       80.0         -999.0       0            4068.625261437149
AL021883    UNNAMED      9d18h        110.0        -999.0       0            3967.338941985583
AL031883    UNNAMED      9d6h         110.0        -999.0       1            2133.3640554090553
AL041883    UNNAMED      6d18h        70.0         -999.0       0            3166.9626995896674
AL011884    UNNAMED      5d18h        70.0         -999.0       0            2405.3044926339353
AL021884    UNNAMED      13d18h       100.0        -999.0       0            3478.474808197862
AL031884    UNNAMED      10d18h       80.0         -999.0       0            3706.0412847174985
AL041884    UNNAMED      10d18h       90.0         -999.0       0            1407.9674497593705
AL011885    UNNAMED      8d18h        80.0         -999.0       0            2691.7313810062033
AL021885    UNNAMED      7d18h        90.0         -999.0       1            3305.8336881229834
AL031885    UNNAMED      2d18h        50.0         -999.0       0            793.2928483899194
AL041885    UNNAMED      6d18h        80.0         -999.0       0            2255.7627347701978
AL051885    UNNAMED      3d18h        70.0         -999.0       0            661.617352823286
AL061885    UNNAMED      8d18h        70.0         -999.0       0            1050.1556786910642
AL071885    UNNAMED      3d18h        80.0         -999.0       0            980.5111520093108
AL081885    UNNAMED      3d18h        60.0         -999.0       0            1073.6477917072775
AL011886    UNNAMED      2d12h        85.0         -999.0       1            633.0386125639286
AL021886    UNNAMED      7d18h        85.0         -999.0       1            2043.2584225564526
AL031886    UNNAMED      5d6h         85.0         -999.0       1            1481.167919658812
AL041886    UNNAMED      10d12h       75.0         -999.0       1            3970.5890302401185
AL051886    UNNAMED      9d12h        130.0        -999.0       1            2779.9776774007273
AL061886    UNNAMED      12d18h       105.0        -999.0       0            3558.145080627174
AL071886    UNNAMED      5d6h         100.0        -999.0       0            2734.1654276520794
AL081886    UNNAMED      8d18h        85.0         -999.0       0            2097.9309835773824
AL091886    UNNAMED      8d18h        85.0         -999.0       0            678.6687637916182
AL101886    UNNAMED      5d18h        105.0        -999.0       1            1038.016983013866
AL111886    UNNAMED      5d18h        45.0         -999.0       0            827.3235731856238
AL121886    UNNAMED      5d0h         60.0         -999.0       0            1119.097514769642
AL011887    UNNAMED      5d6h         60.0         -999.0       0            1176.4476918291534
AL021887    UNNAMED      4d18h        50.0         -999.0       0            910.3611031355392
AL031887    UNNAMED      3d6h         35.0         -999.0       0            696.5081607128748
AL041887    UNNAMED      8d18h        85.0         -999.0       1            2622.6549732506255
AL051887    UNNAMED      8d18h        50.0         -999.0       0            2012.7582060146358
AL061887    UNNAMED      9d6h         105.0        -999.0       0            3754.1125453387904
AL071887    UNNAMED      9d12h        110.0        -999.0       0            3222.738495879675
AL081887    UNNAMED      5d12h        90.0         -999.0       0            2869.135437933103
AL091887    UNNAMED      11d6h        85.0         -999.0       1            2604.5598343564975
AL101887    UNNAMED      4d0h         70.0         -999.0       0            1714.8600678449957
AL111887    UNNAMED      2d12h        50.0         -999.0       0            657.2243680926889
AL121887    UNNAMED      1d18h        60.0         -999.0       0            274.43493605307464
AL131887    UNNAMED      12d18h       75.0         -999.0       1            3391.1501531666536
AL141887    UNNAMED      2d12h        75.0         -999.0       0            732.185860200118
AL151887    UNNAMED      4d6h         90.0         -999.0       0            1193.525252587044
AL161887    UNNAMED      8d6h         70.0         -999.0       0            4086.820323965756
AL171887    UNNAMED      7d6h         70.0         -999.0       0            1551.5963201387708
AL181887    UNNAMED      6d6h         70.0         -999.0       0            2666.7892672096937
AL191887    UNNAMED      5d12h        50.0         -999.0       0            1461.8871214584303
AL011888    UNNAMED      2d18h        70.0         -999.0       1            303.9772301010166
AL021888    UNNAMED      2d0h         50.0         -999.0       0            308.5737434803626
AL031888    UNNAMED      10d6h        110.0        -999.0       2            3535.522204720387
AL041888    UNNAMED      8d6h         110.0        -999.0       0            1969.227669095713
AL051888    UNNAMED      6d18h        50.0         -999.0       0            1893.7139318101076
AL061888    UNNAMED      4d0h         70.0         -999.0       1            1503.871913055303
AL071888    UNNAMED      4d6h         95.0         -999.0       1            1606.1018654119302
AL081888    UNNAMED      7d12h        50.0         -999.0       0            1886.4069731038446
AL091888    UNNAMED      15d18h       85.0         -999.0       0            3373.1568800253317
AL011889    UNNAMED      5d18h        70.0         -999.0       0            1324.0444633984978
AL021889    UNNAMED      5d18h        65.0         -999.0       0            1788.8290344511886
AL031889    UNNAMED      9d12h        70.0         -999.0       0            1450.4253978921797
AL041889    UNNAMED      11d18h       90.0         -999.0       0            2196.5937949724484
AL051889    UNNAMED      9d18h        70.0         -999.0       0            2992.831731310486
AL061889    UNNAMED      14d12h       95.0         -999.0       1            4086.9114741928374
AL071889    UNNAMED      7d12h        50.0         -999.0       0            2261.485131080637
AL081889    UNNAMED      7d0h         60.0         -999.0       0            2250.0595951294677
AL091889    UNNAMED      6d0h         50.0         -999.0       0            2771.91859796198
AL011890    UNNAMED      2d6h         50.0         -999.0       0            273.24254606243966
AL021890    UNNAMED      9d18h        50.0         -999.0       0            2216.2245123733637
AL031890    UNNAMED      8d0h         105.0        -999.0       0            3767.604885883861
AL041890    UNNAMED      1d6h         80.0         -999.0       0            241.51302025750044
AL011891    UNNAMED      5d0h         80.0         -999.0       1            944.0689644606769
AL021891    UNNAMED      12d12h       65.0         -999.0       0            3109.8638982725715
AL031891    UNNAMED      7d6h         110.0        -999.0       1            1690.4687907717803
AL041891    UNNAMED      8d6h         85.0         -999.0       0            3106.6447653270197
AL051891    UNNAMED      10d18h       85.0         -999.0       0            2497.2483219519086
AL061891    UNNAMED      9d12h        85.0         -999.0       0            3217.5419765525767
AL071891    UNNAMED      5d18h        45.0         -999.0       0            1712.3544949445993
AL081891    UNNAMED      8d12h        55.0         -999.0       0            2403.433589076603
AL091891    UNNAMED      8d6h         75.0         -999.0       0            2208.115487779249
AL101891    UNNAMED      3d0h         50.0         -999.0       0            1448.544630361136
AL011892    UNNAMED      7d18h        45.0         -999.0       0            1314.7124637686763
AL021892    UNNAMED      9d18h        65.0         -999.0       0            3621.7215561400644
AL031892    UNNAMED      14d6h        85.0         -999.0       0            4273.107804674436
AL041892    UNNAMED      8d18h        50.0         -999.0       0            2961.3314553270075
AL051892    UNNAMED      11d18h       85.0         -999.0       0            2662.051703255697
AL061892    UNNAMED      2d12h        50.0         -999.0       0            409.9223372587384
AL071892    UNNAMED      11d0h        85.0         -999.0       0            2504.727359882405
AL081892    UNNAMED      7d6h         80.0         -999.0       0            1785.5958674865342
AL091892    UNNAMED      8d6h         45.0         -999.0       0            1711.4426516790104
AL011893    UNNAMED      8d12h        65.0         -999.0       0            2494.95633027314
AL021893    UNNAMED      3d6h         85.0         -999.0       0            835.1089550478335
AL031893    UNNAMED      12d6h        105.0        -999.0       0            4353.702771963795
AL041893    UNNAMED      11d12h       100.0        -999.0       1            4049.6711883702515
AL051893    UNNAMED      3d18h        85.0         -999.0       0            1622.201628078296
AL061893    UNNAMED      18d6h        105.0        -999.0       1            6001.189817415184
AL071893    UNNAMED      9d12h        85.0         -999.0       0            2607.338646244109
AL081893    UNNAMED      5d12h        85.0         -999.0       1            1224.9293905736354
AL091893    UNNAMED      20d12h       105.0        -999.0       1            5132.367150232618
AL101893    UNNAMED      8d0h         115.0        -999.0       2            1991.2687360195634
AL111893    UNNAMED      3d6h         50.0         -999.0       0            1324.027762720549
AL121893    UNNAMED      7d18h        60.0         -999.0       0            2348.369069965517
AL011894    UNNAMED      3d18h        35.0         -999.0       0            476.83945104625917
AL021894    UNNAMED      4d12h        50.0         -999.0       0            438.2444097324244
AL031894    UNNAMED      10d18h       100.0        -999.0       0            3525.837802350535
AL041894    UNNAMED      13d6h        105.0        -999.0       3            3226.7479827595917
AL051894    UNNAMED      11d12h       105.0        -999.0       2            3120.05703351198
AL061894    UNNAMED      9d18h        115.0        -999.0       0            2048.4934766058304
AL071894    UNNAMED      10d6h        95.0         -999.0       0            3408.801234128187
AL011895    UNNAMED      3d12h        50.0         -999.0       0            395.61886159539154
AL021895    UNNAMED      8d18h        95.0         -999.0       0            2419.5213563821208
AL031895    UNNAMED      9d12h        50.0         -999.0       0            2601.440072620867
AL041895    UNNAMED      5d12h        35.0         -999.0       0            1252.028894422773
AL051895    UNNAMED      14d12h       90.0         -999.0       0            4775.743026324541
AL061895    UNNAMED      3d18h        35.0         -999.0       0            866.8252333414039
AL011896    UNNAMED      8d0h         85.0         -999.0       1            2623.6609642141098
AL021896    UNNAMED      12d12h       100.0        -999.0       1            2613.818584648687
AL031896    UNNAMED      10d12h       85.0         -999.0       0            4125.789058266234
AL041896    UNNAMED      8d6h         110.0        -999.0       1            2578.872257168036
AL051896    UNNAMED      9d12h        85.0         -999.0       0            2638.6893450337407
AL061896    UNNAMED      14d12h       85.0         -999.0       0            3300.5089121315455
AL071896    UNNAMED      2d18h        50.0         -999.0       0            436.82461165616587
AL011897    UNNAMED      10d12h       85.0         -999.0       0            3687.6436496886495
AL021897    UNNAMED      3d12h        75.0         -999.0       1            933.8803752777715
AL031897    UNNAMED      5d0h         60.0         -999.0       0            1846.0503366999928
AL041897    UNNAMED      4d18h        40.0         -999.0       0            521.6069084106873
AL051897    UNNAMED      13d0h        70.0         -999.0       0            3363.9895455429646
AL061897    UNNAMED      8d12h        55.0         -999.0       0            2039.7864130075595
AL011898    UNNAMED      1d18h        70.0         -999.0       1            514.381086052557
AL021898    UNNAMED      2d12h        75.0         -999.0       1            426.60111151662807
AL031898    UNNAMED      2d18h        70.0         -999.0       0            837.684173777904
AL041898    UNNAMED      15d0h        95.0         -999.0       0            4424.119460804189
AL051898    UNNAMED      10d6h        50.0         -999.0       0            2022.3533661707675
AL061898    UNNAMED      8d6h         50.0         -999.0       0            1477.7500695585395
AL071898    UNNAMED      11d18h       115.0        -999.0       1            3555.9283358418365
AL081898    UNNAMED      3d0h         45.0         -999.0       0            707.843974516898
AL091898    UNNAMED      12d12h       60.0         -999.0       0            3011.7737856827553
AL101898    UNNAMED      2d18h        40.0         -999.0       0            554.6514189862673
AL111898    UNNAMED      8d12h        50.0         -999.0       0            1809.410010490899
AL011899    UNNAMED      1d6h         35.0         -999.0       0            180.17148457885455
AL021899    UNNAMED      5d6h         85.0         -999.0       1            1281.9203890703739
AL031899    UNNAMED      32d18h       130.0        -999.0       1            7242.060645212937
AL041899    UNNAMED      10d12h       90.0         -999.0       0            3098.9051631836933
AL051899    UNNAMED      12d18h       105.0        -999.0       0            3935.473163034677
AL061899    UNNAMED      6d0h         50.0         -999.0       0            2685.2323236894654
AL071899    UNNAMED      4d0h         40.0         -999.0       0            789.9978967186998
AL081899    UNNAMED      3d6h         40.0         -999.0       0            793.5233087339752
AL091899    UNNAMED      9d18h        95.0         -999.0       1            3921.449197769891
AL101899    UNNAMED      3d18h        55.0         -999.0       0            1076.6080738677429
AL011900    UNNAMED      19d18h       125.0        -999.0       1            6782.028028463241
AL021900    UNNAMED      12d6h        105.0        -999.0       0            3466.637413702467
AL031900    UNNAMED      15d6h        85.0         -999.0       0            3229.99986531814
AL041900    UNNAMED      4d18h        45.0         -999.0       0            997.4077599739293
AL051900    UNNAMED      10d6h        60.0         -999.0       0            3244.229572111631
AL061900    UNNAMED      5d12h        40.0         -999.0       0            2205.750372272058
AL071900    UNNAMED      5d18h        45.0         -999.0       0            2017.2880364779421
AL011901    UNNAMED      4d18h        35.0         -999.0       0            1148.2234348418597
AL021901    UNNAMED      9d6h         60.0         -999.0       0            2714.2842408773527
AL031901    UNNAMED      9d18h        70.0         -999.0       1            2539.191513926933
AL041901    UNNAMED      16d18h       80.0         -999.0       2            3684.637873625581
AL051901    UNNAMED      4d6h         45.0         -999.0       0            973.679993146197
AL061901    UNNAMED      5d6h         70.0         -999.0       0            1149.0633410581177
AL071901    UNNAMED      13d12h       90.0         -999.0       0            4667.040796236506
AL081901    UNNAMED      10d12h       70.0         -999.0       0            3592.845294988544
AL091901    UNNAMED      5d18h        50.0         -999.0       0            636.0690977211418
AL101901    UNNAMED      11d12h       45.0         -999.0       0            4218.622683422352
AL111901    UNNAMED      9d12h        60.0         -999.0       0            3016.1095576645835
AL121901    UNNAMED      3d18h        50.0         -999.0       0            923.7207732057519
AL131901    UNNAMED      7d6h         70.0         -999.0       0            1592.1910854024607
AL011902    UNNAMED      5d6h         50.0         -999.0       0            2091.876343220161
